id_venda,id_pedido,data_venda,id_produto,id_canal,id_regiao,quantidade,preco_unitario,custo_unitario,desconto_percentual,receita_bruta,valor_desconto,receita_liquida,custo_total,margem_bruta,margem_percentual
18852,112437,2024-01-01,11,3,5,2,43.83,12.64,0.05,87.66,4.38,83.28,25.28,58.0,0.6964
19107,112615,2024-01-01,2,1,3,1,112.4,42.51,0.1,112.4,11.24,101.16,42.51,58.65,0.5798
19404,112804,2024-01-01,5,4,3,1,96.49,38.9,0.05,96.49,4.82,91.67,38.9,52.77,0.5757
3020,102015,2024-01-02,8,4,4,1,54.71,18.5,0.05,54.71,2.74,51.97,18.5,33.47,0.644
3021,102015,2024-01-02,12,4,4,2,79.29,26.75,0.05,158.58,7.93,150.65,53.5,97.15,0.6449
3022,102015,2024-01-02,10,4,4,2,63.82,21.96,0.05,127.64,6.38,121.26,43.92,77.34,0.6378
4189,102775,2024-01-02,8,1,2,2,49.69,18.91,0.0,99.38,0.0,99.38,37.82,61.56,0.6194
5234,103490,2024-01-02,9,1,4,1,73.63,27.48,0.0,73.63,0.0,73.63,27.48,46.15,0.6268
5235,103490,2024-01-02,1,1,4,1,70.53,24.69,0.15,70.53,10.58,59.95,24.69,35.26,0.5882
7254,104818,2024-01-02,10,1,2,2,65.82,21.81,0.0,131.64,0.0,131.64,43.62,88.02,0.6686
7255,104818,2024-01-02,14,1,2,1,28.15,9.23,0.0,28.15,0.0,28.15,9.23,18.92,0.6721
8042,105326,2024-01-02,15,1,5,3,60.49,20.58,0.0,181.47,0.0,181.47,61.74,119.73,0.6598
8427,105588,2024-01-02,4,4,4,1,92.5,30.88,0.05,92.5,4.62,87.88,30.88,57.0,0.6486
8428,105588,2024-01-02,13,4,4,1,58.26,18.72,0.0,58.26,0.0,58.26,18.72,39.54,0.6787
8591,105691,2024-01-02,14,4,2,1,29.37,9.5,0.0,29.37,0.0,29.37,9.5,19.87,0.6765
18286,112060,2024-01-02,5,2,5,3,99.94,38.54,0.0,299.82,0.0,299.82,115.62,184.2,0.6144
18590,112251,2024-01-02,12,3,4,1,86.55,26.59,0.0,86.55,0.0,86.55,26.59,59.96,0.6928
22714,114987,2024-01-02,1,4,3,1,65.75,24.71,0.05,65.75,3.29,62.46,24.71,37.75,0.6044
1116,100741,2024-01-03,5,1,4,1,95.8,39.02,0.05,95.8,4.79,91.01,39.02,51.99,0.5713
1117,100741,2024-01-03,10,1,4,1,62.11,21.98,0.1,62.11,6.21,55.9,21.98,33.92,0.6068
3473,102327,2024-01-03,6,1,3,4,75.26,29.74,0.0,301.04,0.0,301.04,118.96,182.08,0.6048
3474,102327,2024-01-03,2,1,3,1,115.72,43.19,0.15,115.72,17.36,98.36,43.19,55.17,0.5609
3867,102564,2024-01-03,14,1,2,3,28.35,9.35,0.15,85.05,12.76,72.29,28.05,44.24,0.612
6538,104342,2024-01-03,8,2,2,1,52.97,18.24,0.1,52.97,5.3,47.67,18.24,29.43,0.6174
8672,105743,2024-01-03,8,2,4,1,53.38,18.21,0.05,53.38,2.67,50.71,18.21,32.5,0.6409
11094,107339,2024-01-03,7,5,4,1,48.41,17.38,0.15,48.41,7.26,41.15,17.38,23.77,0.5776
11095,107339,2024-01-03,10,5,4,1,65.06,22.06,0.2,65.06,13.01,52.05,22.06,29.99,0.5762
11096,107339,2024-01-03,14,5,4,1,30.97,9.63,0.1,30.97,3.1,27.87,9.63,18.24,0.6545
11775,107800,2024-01-03,8,1,4,1,51.91,18.54,0.05,51.91,2.6,49.31,18.54,30.77,0.624
12150,108047,2024-01-03,7,1,2,1,47.13,17.18,0.05,47.13,2.36,44.77,17.18,27.59,0.6163
12419,108223,2024-01-03,6,4,5,2,74.85,29.51,0.05,149.7,7.48,142.22,59.02,83.2,0.585
15675,110343,2024-01-03,11,3,4,1,44.92,12.45,0.0,44.92,0.0,44.92,12.45,32.47,0.7228
16136,110637,2024-01-03,7,1,2,1,48.2,16.67,0.15,48.2,7.23,40.97,16.67,24.3,0.5931
18793,112392,2024-01-03,4,3,4,2,91.54,31.1,0.0,183.08,0.0,183.08,62.2,120.88,0.6603
19099,112610,2024-01-03,8,5,1,1,49.37,18.78,0.2,49.37,9.87,39.5,18.78,20.72,0.5246
1426,100945,2024-01-04,12,1,3,1,82.59,25.76,0.05,82.59,4.13,78.46,25.76,52.7,0.6717
1650,101100,2024-01-04,1,2,4,1,71.4,24.64,0.1,71.4,7.14,64.26,24.64,39.62,0.6166
1651,101100,2024-01-04,10,2,4,3,62.6,21.87,0.1,187.8,18.78,169.02,65.61,103.41,0.6118
2067,101377,2024-01-04,15,3,3,2,59.51,20.9,0.0,119.02,0.0,119.02,41.8,77.22,0.6488
9328,106180,2024-01-04,4,5,2,1,92.82,31.24,0.1,92.82,9.28,83.54,31.24,52.3,0.626
10653,107045,2024-01-04,5,3,2,1,102.21,37.19,0.0,102.21,0.0,102.21,37.19,65.02,0.6361
11507,107624,2024-01-04,14,3,2,3,28.28,9.34,0.1,84.84,8.48,76.36,28.02,48.34,0.6331
11508,107624,2024-01-04,12,3,2,1,83.72,26.79,0.1,83.72,8.37,75.35,26.79,48.56,0.6445
17788,111722,2024-01-04,7,1,2,1,49.87,16.97,0.05,49.87,2.49,47.38,16.97,30.41,0.6418
17789,111722,2024-01-04,4,1,2,2,87.44,30.65,0.1,174.88,17.49,157.39,61.3,96.09,0.6105
17790,111722,2024-01-04,8,1,2,3,51.25,18.75,0.0,153.75,0.0,153.75,56.25,97.5,0.6341
17791,111722,2024-01-04,13,1,2,1,57.02,19.56,0.15,57.02,8.55,48.47,19.56,28.91,0.5965
18579,112244,2024-01-04,2,4,4,1,113.68,42.85,0.0,113.68,0.0,113.68,42.85,70.83,0.6231
18580,112244,2024-01-04,13,4,4,1,55.97,19.3,0.0,55.97,0.0,55.97,19.3,36.67,0.6552
18968,112519,2024-01-04,7,3,4,1,47.45,17.5,0.0,47.45,0.0,47.45,17.5,29.95,0.6312
19370,112777,2024-01-04,1,3,5,1,70.15,24.22,0.05,70.15,3.51,66.64,24.22,42.42,0.6366
22036,114543,2024-01-04,7,5,4,2,49.12,16.5,0.15,98.24,14.74,83.5,33.0,50.5,0.6048
22037,114543,2024-01-04,1,5,4,3,70.17,25.1,0.1,210.51,21.05,189.46,75.3,114.16,0.6026
22038,114543,2024-01-04,15,5,4,3,55.86,21.47,0.1,167.58,16.76,150.82,64.41,86.41,0.5729
1844,101232,2024-01-05,10,5,2,1,67.49,22.35,0.1,67.49,6.75,60.74,22.35,38.39,0.632
1845,101232,2024-01-05,14,5,2,1,29.96,9.33,0.1,29.96,3.0,26.96,9.33,17.63,0.6539
1846,101232,2024-01-05,15,5,2,1,58.57,20.66,0.05,58.57,2.93,55.64,20.66,34.98,0.6287
1903,101268,2024-01-05,3,3,2,1,52.02,18.33,0.05,52.02,2.6,49.42,18.33,31.09,0.6291
2420,101609,2024-01-05,13,4,5,2,58.94,18.71,0.05,117.88,5.89,111.99,37.42,74.57,0.6659
3726,102481,2024-01-05,7,4,3,1,48.39,17.16,0.0,48.39,0.0,48.39,17.16,31.23,0.6454
4325,102864,2024-01-05,1,4,5,1,71.69,24.85,0.05,71.69,3.58,68.11,24.85,43.26,0.6351
4601,103053,2024-01-05,8,4,2,1,54.05,18.31,0.0,54.05,0.0,54.05,18.31,35.74,0.6612
4602,103053,2024-01-05,1,4,2,2,65.39,24.76,0.05,130.78,6.54,124.24,49.52,74.72,0.6014
4603,103053,2024-01-05,15,4,2,1,60.43,20.57,0.05,60.43,3.02,57.41,20.57,36.84,0.6417
4755,103158,2024-01-05,8,1,5,1,54.58,18.96,0.0,54.58,0.0,54.58,18.96,35.62,0.6526
6040,104010,2024-01-05,15,2,5,3,57.29,21.1,0.05,171.87,8.59,163.28,63.3,99.98,0.6123
7182,104767,2024-01-05,3,2,4,1,56.48,18.27,0.1,56.48,5.65,50.83,18.27,32.56,0.6406
7183,104767,2024-01-05,5,2,4,2,102.62,38.06,0.1,205.24,20.52,184.72,76.12,108.6,0.5879
7856,105210,2024-01-05,14,1,4,1,30.48,9.57,0.1,30.48,3.05,27.43,9.57,17.86,0.6511
8310,105508,2024-01-05,12,2,2,1,79.77,25.93,0.05,79.77,3.99,75.78,25.93,49.85,0.6578
8311,105508,2024-01-05,15,2,2,2,57.0,20.83,0.1,114.0,11.4,102.6,41.66,60.94,0.594
10882,107202,2024-01-05,15,3,4,1,58.4,21.55,0.0,58.4,0.0,58.4,21.55,36.85,0.631
10883,107202,2024-01-05,14,3,4,3,30.19,9.36,0.0,90.57,0.0,90.57,28.08,62.49,0.69
11085,107333,2024-01-05,14,3,1,1,28.82,9.28,0.0,28.82,0.0,28.82,9.28,19.54,0.678
11086,107333,2024-01-05,8,3,1,1,53.08,18.64,0.0,53.08,0.0,53.08,18.64,34.44,0.6488
11812,107822,2024-01-05,7,2,5,3,50.48,17.0,0.05,151.44,7.57,143.87,51.0,92.87,0.6455
11813,107822,2024-01-05,11,2,5,2,46.63,12.66,0.05,93.26,4.66,88.6,25.32,63.28,0.7142
11821,107828,2024-01-05,9,2,4,1,74.05,27.26,0.1,74.05,7.4,66.65,27.26,39.39,0.591
12331,108166,2024-01-05,3,5,4,1,54.73,18.11,0.15,54.73,8.21,46.52,18.11,28.41,0.6107
18446,112165,2024-01-05,2,4,4,1,124.4,42.53,0.0,124.4,0.0,124.4,42.53,81.87,0.6581
18447,112165,2024-01-05,13,4,4,1,61.07,18.48,0.0,61.07,0.0,61.07,18.48,42.59,0.6974
18641,112283,2024-01-05,4,2,3,1,86.23,30.63,0.05,86.23,4.31,81.92,30.63,51.29,0.6261
22345,114737,2024-01-05,11,5,2,1,42.07,12.39,0.05,42.07,2.1,39.97,12.39,27.58,0.69
2902,101944,2024-01-06,14,3,4,1,29.33,9.28,0.05,29.33,1.47,27.86,9.28,18.58,0.6669
2903,101944,2024-01-06,7,3,4,2,51.27,17.32,0.05,102.54,5.13,97.41,34.64,62.77,0.6444
4162,102758,2024-01-06,14,1,2,1,28.98,9.65,0.1,28.98,2.9,26.08,9.65,16.43,0.63
4618,103065,2024-01-06,3,1,2,1,53.51,18.02,0.1,53.51,5.35,48.16,18.02,30.14,0.6258
5400,103592,2024-01-06,12,3,3,1,83.18,27.15,0.05,83.18,4.16,79.02,27.15,51.87,0.6564
5401,103592,2024-01-06,15,3,3,1,57.87,20.83,0.05,57.87,2.89,54.98,20.83,34.15,0.6211
5402,103592,2024-01-06,6,3,3,2,76.13,30.27,0.05,152.26,7.61,144.65,60.54,84.11,0.5815
8105,105363,2024-01-06,1,4,3,1,70.46,25.18,0.05,70.46,3.52,66.94,25.18,41.76,0.6238
8942,105930,2024-01-06,3,2,3,1,54.6,18.65,0.1,54.6,5.46,49.14,18.65,30.49,0.6205
9993,106630,2024-01-06,14,2,4,1,29.76,9.22,0.05,29.76,1.49,28.27,9.22,19.05,0.6739
10074,106685,2024-01-06,12,2,4,1,81.85,26.16,0.05,81.85,4.09,77.76,26.16,51.6,0.6636
10075,106685,2024-01-06,11,2,4,1,43.84,12.44,0.1,43.84,4.38,39.46,12.44,27.02,0.6847
10255,106804,2024-01-06,14,5,4,1,29.28,9.54,0.05,29.28,1.46,27.82,9.54,18.28,0.6571
13886,109171,2024-01-06,15,3,4,4,57.87,21.55,0.1,231.48,23.15,208.33,86.2,122.13,0.5862
13887,109171,2024-01-06,9,3,4,1,76.92,27.23,0.0,76.92,0.0,76.92,27.23,49.69,0.646
13973,109225,2024-01-06,12,4,4,4,85.03,27.05,0.0,340.12,0.0,340.12,108.2,231.92,0.6819
15202,110028,2024-01-06,7,1,2,2,51.39,16.69,0.0,102.78,0.0,102.78,33.38,69.4,0.6752
16843,111106,2024-01-06,13,2,3,3,61.61,19.34,0.1,184.83,18.48,166.35,58.02,108.33,0.6512
16844,111106,2024-01-06,3,2,3,1,52.76,18.04,0.1,52.76,5.28,47.48,18.04,29.44,0.6201
17977,111852,2024-01-06,15,4,4,1,61.3,21.2,0.0,61.3,0.0,61.3,21.2,40.1,0.6542
17978,111852,2024-01-06,13,4,4,2,57.58,19.36,0.05,115.16,5.76,109.4,38.72,70.68,0.6461
18573,112240,2024-01-06,15,1,4,1,58.06,21.02,0.05,58.06,2.9,55.16,21.02,34.14,0.6189
2186,101467,2024-01-07,15,5,4,1,56.49,20.95,0.1,56.49,5.65,50.84,20.95,29.89,0.5879
2187,101467,2024-01-07,1,5,4,2,65.56,25.22,0.05,131.12,6.56,124.56,50.44,74.12,0.5951
2339,101558,2024-01-07,12,3,4,1,81.52,26.8,0.05,81.52,4.08,77.44,26.8,50.64,0.6539
2620,101752,2024-01-07,8,4,4,1,49.61,18.48,0.0,49.61,0.0,49.61,18.48,31.13,0.6275
6966,104630,2024-01-07,6,1,4,1,82.52,29.83,0.0,82.52,0.0,82.52,29.83,52.69,0.6385
6994,104651,2024-01-07,13,2,3,1,56.8,18.7,0.05,56.8,2.84,53.96,18.7,35.26,0.6534
9794,106490,2024-01-07,11,1,4,1,44.89,12.21,0.0,44.89,0.0,44.89,12.21,32.68,0.728
12503,108274,2024-01-07,15,2,4,1,58.61,20.87,0.05,58.61,2.93,55.68,20.87,34.81,0.6252
12504,108274,2024-01-07,2,2,4,4,119.66,42.33,0.0,478.64,0.0,478.64,169.32,309.32,0.6462
14306,109438,2024-01-07,14,2,4,2,27.88,9.24,0.1,55.76,5.58,50.18,18.48,31.7,0.6317
14307,109438,2024-01-07,12,2,4,1,80.75,27.29,0.0,80.75,0.0,80.75,27.29,53.46,0.662
14308,109438,2024-01-07,7,2,4,1,51.64,16.81,0.05,51.64,2.58,49.06,16.81,32.25,0.6574
17388,111467,2024-01-07,4,5,4,1,89.31,31.82,0.05,89.31,4.47,84.84,31.82,53.02,0.6249
19842,113085,2024-01-07,1,5,5,1,65.74,24.12,0.05,65.74,3.29,62.45,24.12,38.33,0.6138
22717,114990,2024-01-07,15,5,5,3,58.52,20.59,0.2,175.56,35.11,140.45,61.77,78.68,0.5602
3782,102512,2024-01-08,3,3,4,1,52.64,18.45,0.05,52.64,2.63,50.01,18.45,31.56,0.6311
3783,102512,2024-01-08,14,3,4,1,30.17,9.62,0.0,30.17,0.0,30.17,9.62,20.55,0.6811
3784,102512,2024-01-08,11,3,4,1,46.21,12.48,0.0,46.21,0.0,46.21,12.48,33.73,0.7299
7780,105158,2024-01-08,7,5,4,1,48.36,17.08,0.1,48.36,4.84,43.52,17.08,26.44,0.6075
7781,105158,2024-01-08,6,5,4,2,79.31,30.05,0.2,158.62,31.72,126.9,60.1,66.8,0.5264
10473,106934,2024-01-08,7,5,3,3,47.96,16.52,0.05,143.88,7.19,136.69,49.56,87.13,0.6374
10474,106934,2024-01-08,15,5,3,2,59.42,21.42,0.1,118.84,11.88,106.96,42.84,64.12,0.5995
10475,106934,2024-01-08,11,5,3,1,42.09,12.29,0.1,42.09,4.21,37.88,12.29,25.59,0.6756
11054,107316,2024-01-08,13,1,4,1,57.24,18.89,0.0,57.24,0.0,57.24,18.89,38.35,0.67
11055,107316,2024-01-08,8,1,4,1,50.78,18.99,0.05,50.78,2.54,48.24,18.99,29.25,0.6063
11056,107316,2024-01-08,11,1,4,1,43.38,12.48,0.05,43.38,2.17,41.21,12.48,28.73,0.6972
12127,108033,2024-01-08,7,4,4,1,46.85,16.6,0.05,46.85,2.34,44.51,16.6,27.91,0.6271
12501,108273,2024-01-08,4,4,3,1,83.77,30.29,0.0,83.77,0.0,83.77,30.29,53.48,0.6384
12502,108273,2024-01-08,5,4,3,1,101.99,38.73,0.05,101.99,5.1,96.89,38.73,58.16,0.6003
13077,108651,2024-01-08,13,4,4,3,59.15,18.61,0.05,177.45,8.87,168.58,55.83,112.75,0.6688
13078,108651,2024-01-08,12,4,4,2,85.13,26.66,0.0,170.26,0.0,170.26,53.32,116.94,0.6868
13746,109083,2024-01-08,5,2,4,2,100.12,38.14,0.05,200.24,10.01,190.23,76.28,113.95,0.599
13747,109083,2024-01-08,7,2,4,1,49.22,16.8,0.0,49.22,0.0,49.22,16.8,32.42,0.6587
14708,109700,2024-01-08,2,2,1,1,122.68,42.89,0.0,122.68,0.0,122.68,42.89,79.79,0.6504
14709,109700,2024-01-08,1,2,1,2,67.46,24.69,0.0,134.92,0.0,134.92,49.38,85.54,0.634
14710,109700,2024-01-08,11,2,1,1,43.43,12.2,0.1,43.43,4.34,39.09,12.2,26.89,0.6879
15486,110212,2024-01-08,3,3,1,1,56.37,18.98,0.1,56.37,5.64,50.73,18.98,31.75,0.6259
15487,110212,2024-01-08,13,3,1,2,61.58,18.85,0.05,123.16,6.16,117.0,37.7,79.3,0.6778
15488,110212,2024-01-08,1,3,1,1,71.95,23.85,0.1,71.95,7.2,64.75,23.85,40.9,0.6317
16397,110822,2024-01-08,8,3,3,2,50.9,18.55,0.1,101.8,10.18,91.62,37.1,54.52,0.5951
16398,110822,2024-01-08,7,3,3,1,48.32,17.19,0.05,48.32,2.42,45.9,17.19,28.71,0.6255
17427,111488,2024-01-08,5,3,4,1,100.58,38.52,0.1,100.58,10.06,90.52,38.52,52.0,0.5745
17428,111488,2024-01-08,10,3,4,3,61.92,22.61,0.1,185.76,18.58,167.18,67.83,99.35,0.5943
19046,112573,2024-01-08,3,2,2,2,53.79,18.77,0.05,107.58,5.38,102.2,37.54,64.66,0.6327
19047,112573,2024-01-08,7,2,2,1,50.62,17.13,0.0,50.62,0.0,50.62,17.13,33.49,0.6616
21281,114044,2024-01-08,6,1,1,1,75.57,29.7,0.0,75.57,0.0,75.57,29.7,45.87,0.607
21390,114117,2024-01-08,5,5,2,1,99.44,37.88,0.1,99.44,9.94,89.5,37.88,51.62,0.5768
22301,114710,2024-01-08,12,1,2,2,86.73,26.23,0.0,173.46,0.0,173.46,52.46,121.0,0.6976
22302,114710,2024-01-08,1,1,2,2,71.33,25.16,0.0,142.66,0.0,142.66,50.32,92.34,0.6473
1412,100936,2024-01-09,8,4,3,3,49.25,18.01,0.0,147.75,0.0,147.75,54.03,93.72,0.6343
4124,102737,2024-01-09,13,4,2,1,58.21,19.18,0.0,58.21,0.0,58.21,19.18,39.03,0.6705
4154,102753,2024-01-09,13,2,5,3,57.22,18.81,0.05,171.66,8.58,163.08,56.43,106.65,0.654
4155,102753,2024-01-09,1,2,5,2,68.13,24.71,0.0,136.26,0.0,136.26,49.42,86.84,0.6373
4750,103153,2024-01-09,8,3,4,1,53.28,18.07,0.05,53.28,2.66,50.62,18.07,32.55,0.643
6343,104207,2024-01-09,11,1,4,2,44.65,12.34,0.1,89.3,8.93,80.37,24.68,55.69,0.6929
8251,105464,2024-01-09,8,1,4,1,54.42,18.95,0.05,54.42,2.72,51.7,18.95,32.75,0.6335
11735,107770,2024-01-09,14,4,2,2,29.9,9.37,0.0,59.8,0.0,59.8,18.74,41.06,0.6866
13333,108814,2024-01-09,15,2,3,1,60.44,20.38,0.1,60.44,6.04,54.4,20.38,34.02,0.6254
13334,108814,2024-01-09,9,2,3,1,77.28,27.65,0.1,77.28,7.73,69.55,27.65,41.9,0.6024
13475,108906,2024-01-09,5,5,3,3,100.16,37.52,0.2,300.48,60.1,240.38,112.56,127.82,0.5317
13576,108970,2024-01-09,9,2,5,1,74.95,26.67,0.05,74.95,3.75,71.2,26.67,44.53,0.6254
13577,108970,2024-01-09,13,2,5,1,60.55,19.02,0.0,60.55,0.0,60.55,19.02,41.53,0.6859
15503,110225,2024-01-09,1,1,4,2,70.17,24.73,0.05,140.34,7.02,133.32,49.46,83.86,0.629
15567,110271,2024-01-09,2,2,4,2,113.92,42.98,0.1,227.84,22.78,205.06,85.96,119.1,0.5808
16028,110561,2024-01-09,8,4,4,1,53.58,18.7,0.0,53.58,0.0,53.58,18.7,34.88,0.651
16239,110708,2024-01-09,10,1,4,1,66.89,22.07,0.0,66.89,0.0,66.89,22.07,44.82,0.6701
19296,112731,2024-01-09,7,5,4,2,49.27,16.56,0.1,98.54,9.85,88.69,33.12,55.57,0.6266
19297,112731,2024-01-09,10,5,4,1,66.88,21.44,0.2,66.88,13.38,53.5,21.44,32.06,0.5993
19298,112731,2024-01-09,12,5,4,2,78.97,26.0,0.05,157.94,7.9,150.04,52.0,98.04,0.6534
22511,114853,2024-01-09,11,1,4,1,42.97,12.57,0.0,42.97,0.0,42.97,12.57,30.4,0.7075
1637,101093,2024-01-10,3,3,3,1,55.0,18.14,0.0,55.0,0.0,55.0,18.14,36.86,0.6702
1638,101093,2024-01-10,11,3,3,2,44.17,12.38,0.1,88.34,8.83,79.51,24.76,54.75,0.6886
2090,101393,2024-01-10,13,5,1,1,61.13,18.54,0.2,61.13,12.23,48.9,18.54,30.36,0.6209
5303,103532,2024-01-10,5,4,5,1,97.18,38.48,0.0,97.18,0.0,97.18,38.48,58.7,0.604
5304,103532,2024-01-10,10,4,5,2,62.01,22.21,0.0,124.02,0.0,124.02,44.42,79.6,0.6418
7445,104947,2024-01-10,9,4,4,1,73.02,26.55,0.0,73.02,0.0,73.02,26.55,46.47,0.6364
7446,104947,2024-01-10,3,4,4,1,55.52,18.58,0.05,55.52,2.78,52.74,18.58,34.16,0.6477
7447,104947,2024-01-10,7,4,4,1,49.77,17.41,0.05,49.77,2.49,47.28,17.41,29.87,0.6318
8024,105314,2024-01-10,4,4,1,1,91.96,31.58,0.05,91.96,4.6,87.36,31.58,55.78,0.6385
8934,105926,2024-01-10,9,1,4,1,74.43,26.52,0.05,74.43,3.72,70.71,26.52,44.19,0.6249
8935,105926,2024-01-10,15,1,4,1,57.67,20.79,0.15,57.67,8.65,49.02,20.79,28.23,0.5759
8936,105926,2024-01-10,10,1,4,1,65.74,21.83,0.05,65.74,3.29,62.45,21.83,40.62,0.6504
13262,108774,2024-01-10,6,2,1,1,77.51,30.77,0.05,77.51,3.88,73.63,30.77,42.86,0.5821
13263,108774,2024-01-10,3,2,1,1,53.94,19.02,0.1,53.94,5.39,48.55,19.02,29.53,0.6082
14767,109741,2024-01-10,15,1,1,2,59.73,21.56,0.0,119.46,0.0,119.46,43.12,76.34,0.639
1422,100942,2024-01-11,11,2,1,1,45.18,12.13,0.05,45.18,2.26,42.92,12.13,30.79,0.7174
2584,101729,2024-01-11,3,3,4,1,54.6,18.39,0.0,54.6,0.0,54.6,18.39,36.21,0.6632
2585,101729,2024-01-11,13,3,4,1,58.56,18.68,0.0,58.56,0.0,58.56,18.68,39.88,0.681
3546,102376,2024-01-11,12,2,3,1,80.37,27.06,0.05,80.37,4.02,76.35,27.06,49.29,0.6456
3677,102458,2024-01-11,2,4,4,1,117.94,41.23,0.0,117.94,0.0,117.94,41.23,76.71,0.6504
6002,103983,2024-01-11,9,4,4,1,69.88,27.15,0.0,69.88,0.0,69.88,27.15,42.73,0.6115
11396,107548,2024-01-11,15,5,4,1,56.92,20.45,0.2,56.92,11.38,45.54,20.45,25.09,0.5509
11619,107695,2024-01-11,4,1,4,2,92.03,30.94,0.15,184.06,27.61,156.45,61.88,94.57,0.6045
12181,108067,2024-01-11,12,1,4,1,87.69,27.29,0.1,87.69,8.77,78.92,27.29,51.63,0.6542
12182,108067,2024-01-11,1,1,4,2,69.92,25.05,0.15,139.84,20.98,118.86,50.1,68.76,0.5785
12531,108298,2024-01-11,2,3,2,1,113.02,41.85,0.1,113.02,11.3,101.72,41.85,59.87,0.5886
13527,108939,2024-01-11,13,5,4,2,61.4,19.1,0.2,122.8,24.56,98.24,38.2,60.04,0.6112
16569,110928,2024-01-11,15,2,4,2,60.93,20.66,0.05,121.86,6.09,115.77,41.32,74.45,0.6431
17056,111241,2024-01-11,3,4,5,1,52.05,18.24,0.05,52.05,2.6,49.45,18.24,31.21,0.6311
18110,111948,2024-01-11,14,4,5,1,29.2,9.45,0.0,29.2,0.0,29.2,9.45,19.75,0.6764
20342,113420,2024-01-11,7,3,2,3,46.94,17.5,0.1,140.82,14.08,126.74,52.5,74.24,0.5858
20343,113420,2024-01-11,4,3,2,1,87.48,30.24,0.1,87.48,8.75,78.73,30.24,48.49,0.6159
20763,113698,2024-01-11,3,1,2,1,55.28,18.73,0.15,55.28,8.29,46.99,18.73,28.26,0.6014
20764,113698,2024-01-11,14,1,2,1,28.51,9.43,0.15,28.51,4.28,24.23,9.43,14.8,0.6108
20765,113698,2024-01-11,13,1,2,1,60.05,18.71,0.05,60.05,3.0,57.05,18.71,38.34,0.672
476,100306,2024-01-12,5,5,4,1,100.44,38.11,0.1,100.44,10.04,90.4,38.11,52.29,0.5784
477,100306,2024-01-12,14,5,4,3,29.25,9.37,0.2,87.75,17.55,70.2,28.11,42.09,0.5996
478,100306,2024-01-12,8,5,4,1,54.87,17.98,0.05,54.87,2.74,52.13,17.98,34.15,0.6551
3674,102457,2024-01-12,4,3,2,1,90.09,31.53,0.05,90.09,4.5,85.59,31.53,54.06,0.6316
3675,102457,2024-01-12,6,3,2,2,82.29,29.95,0.05,164.58,8.23,156.35,59.9,96.45,0.6169
3676,102457,2024-01-12,8,3,2,2,50.84,18.22,0.05,101.68,5.08,96.6,36.44,60.16,0.6228
4070,102702,2024-01-12,13,1,5,1,60.82,18.49,0.15,60.82,9.12,51.7,18.49,33.21,0.6424
5137,103420,2024-01-12,7,2,2,1,46.86,17.25,0.0,46.86,0.0,46.86,17.25,29.61,0.6319
5138,103420,2024-01-12,5,2,2,1,96.83,38.16,0.0,96.83,0.0,96.83,38.16,58.67,0.6059
5139,103420,2024-01-12,8,2,2,1,53.86,18.53,0.0,53.86,0.0,53.86,18.53,35.33,0.656
5536,103675,2024-01-12,10,5,5,2,64.75,22.5,0.2,129.5,25.9,103.6,45.0,58.6,0.5656
