id_venda,id_pedido,data_venda,id_produto,id_canal,id_regiao,quantidade,preco_unitario,custo_unitario,desconto_percentual
8104,105362,2024-07-04,12,1,5,1,88.24,26.74,0.0
284,100178,2026-04-16,15,1,4,1,57.91,23.75,0.15
2603,101741,2026-01-19,5,1,4,1,98.23,41.14,0.05
15197,110024,2026-08-15,8,3,4,2,54.0,20.39,0.05
8242,105459,2024-11-16,14,1,2,1,28.22,9.9,0.15
2639,101766,2024-11-05,11,3,4,1,42.65,12.78,0.0
18738,112355,2025-03-04,11,5,2,2,42.62,13.07,0.1
19490,112861,2025-04-17,1,1,5,1,66.42,25.62,0.05
22277,114695,2024-12-25,1,5,4,1,67.36,25.25,0.05
4059,102694,2025-03-15,2,4,4,1,114.65,45.41,0.05
18894,112470,2025-07-17,8,1,4,1,49.73,19.81,0.15
11171,107388,2025-05-09,5,3,3,2,102.4,39.39,0.1
9252,106125,2025-12-26,6,3,4,2,75.48,32.33,0.0
20460,113497,2024-03-21,12,1,4,1,84.19,26.3,0.15
17674,111643,2026-04-19,8,2,4,1,54.83,20.26,0.05
4680,103108,2026-04-05,14,1,4,1,27.81,10.45,0.0
20172,113310,2024-05-05,5,2,4,2,99.68,39.4,0.05
14982,109879,2024-10-26,14,2,4,2,30.3,9.6,0.05
16421,110835,2026-03-22,9,3,1,1,73.23,30.46,0.05
7628,105056,2026-05-08,1,1,5,1,72.04,27.19,0.15
8240,105457,2025-05-10,11,4,5,1,46.48,13.03,0.05
316,100200,2026-06-18,6,1,2,1,80.05,33.16,0.0
8688,105755,2025-12-04,12,3,4,1,83.11,28.74,0.0
5865,103885,2025-02-06,2,1,4,2,116.96,42.92,0.1
260,100164,2025-05-09,15,5,4,1,56.9,21.96,0.15
2142,101433,2026-02-16,4,3,5,1,88.6,35.03,0.1
10393,106885,2025-11-12,11,2,4,1,44.54,13.9,0.1
17200,111338,2026-06-03,7,2,3,1,46.6,19.26,0.1
16629,110967,2024-12-29,1,1,2,1,67.33,25.1,0.0
22694,114973,2025-02-08,11,2,5,1,44.0,13.31,0.0
4025,102669,2026-02-22,1,1,4,1,65.36,26.59,0.15
16455,110855,2024-07-11,7,2,5,1,51.18,17.3,0.05
11296,107476,2026-02-13,3,1,4,1,51.24,20.1,0.1
22689,114969,2026-01-05,1,3,4,1,72.05,26.38,0.05
2749,101842,2024-08-01,15,2,4,1,61.17,21.31,0.0
8009,105305,2025-02-12,5,2,5,1,100.17,40.91,0.05
4073,102704,2025-10-25,15,2,4,2,61.55,23.25,0.05
18552,112229,2025-01-07,10,2,1,1,65.27,23.4,0.05
17452,111505,2024-02-24,2,2,1,1,117.91,43.15,0.05
5406,103594,2026-02-23,14,3,2,1,29.44,10.2,0.0
18661,112299,2024-02-27,6,3,2,1,80.24,30.62,0.0
3101,102071,2025-07-17,6,3,4,1,76.28,32.04,0.05
7487,104975,2024-01-14,12,1,2,1,84.2,25.78,0.05
22478,114830,2026-04-10,1,4,4,2,68.19,27.54,0.05
9170,106066,2025-03-12,2,1,4,1,113.33,43.04,0.0
22232,114667,2025-10-09,4,1,4,2,89.1,33.08,0.15
6815,104526,2024-11-13,13,1,4,1,55.92,19.61,0.15
2146,101436,2025-11-15,13,3,4,1,61.51,20.11,0.05
8137,105385,2025-03-25,4,2,1,1,85.35,32.74,0.1
1494,100990,2026-05-26,15,2,1,1,58.09,23.2,0.1
11312,107487,2024-06-04,13,5,4,1,57.8,19.04,0.05
9749,106459,2024-12-24,11,2,5,1,42.41,12.84,0.1
6052,104021,2026-04-19,9,5,4,1,73.3,30.14,0.05
14903,109823,2024-12-19,5,5,4,1,103.8,38.95,0.2
22322,114724,2024-06-23,12,1,2,1,84.01,27.52,0.1
17798,111726,2024-02-23,3,4,5,1,53.67,18.37,0.0
12530,108297,2025-12-17,8,3,3,1,49.31,20.21,0.0
7773,105152,2024-06-05,3,2,4,1,54.93,19.01,0.0
10773,107130,2025-07-11,6,3,3,1,76.49,31.92,0.05
15325,110116,2026-07-21,2,2,4,3,113.04,47.85,0.0
11938,107911,2025-10-28,6,1,4,1,78.97,31.72,0.0
17151,111305,2025-11-13,12,5,5,1,83.42,29.23,0.2
7559,105020,2025-07-08,10,1,4,3,66.97,23.43,0.0
10257,106805,2024-10-14,2,1,4,2,112.55,43.23,0.05
4102,102721,2026-07-15,12,2,2,1,86.49,29.22,0.05
7902,105235,2024-11-06,1,5,4,2,68.23,25.95,0.1
21487,114184,2024-06-17,8,4,5,1,53.66,18.8,0.0
11618,107694,2024-08-25,2,5,4,1,113.48,43.71,0.15
4253,102816,2025-06-04,3,4,5,4,56.91,19.89,0.05
10118,106717,2024-06-06,1,2,4,1,70.35,25.07,0.0
17022,111218,2026-01-17,6,2,2,1,79.16,32.31,0.05
21599,114262,2024-07-16,14,3,4,2,29.86,9.86,0.1
4485,102973,2025-10-06,3,1,2,1,56.88,20.45,0.0
18255,112040,2024-07-30,14,1,2,1,28.09,9.56,0.15
18691,112320,2025-09-10,2,5,4,1,119.52,44.44,0.15
17561,111576,2026-06-27,2,2,4,2,120.55,45.64,0.0
8440,105594,2026-08-22,12,2,5,2,88.21,30.39,0.1
11910,107889,2024-10-13,11,4,4,1,44.87,12.67,0.05
3589,102404,2024-10-18,15,5,4,1,59.74,22.13,0.2
3399,102277,2026-08-13,3,2,5,1,55.34,21.05,0.05
1711,101141,2025-11-15,7,2,5,2,48.95,18.4,0.0
19960,113161,2024-06-23,12,1,5,1,79.01,27.39,0.15
2859,101915,2024-03-16,5,5,4,1,98.38,39.31,0.2
16175,110664,2024-09-14,11,2,5,1,46.49,13.27,0.0
3046,102032,2024-09-03,8,2,4,2,50.63,18.74,0.05
13990,109236,2024-12-22,7,5,1,1,50.73,18.0,0.15
8488,105627,2024-12-11,8,1,4,2,53.47,18.86,0.05
10647,107041,2025-12-03,3,5,2,3,54.57,19.97,0.15
17919,111811,2024-04-23,3,1,2,1,56.32,18.41,0.15
7048,104685,2025-11-25,14,2,4,1,30.39,10.6,0.05
9830,106516,2025-07-05,10,2,4,1,66.65,23.28,0.05
248,100155,2024-02-27,14,4,3,1,27.9,9.8,0.0
22168,114626,2025-05-04,4,1,5,2,90.14,33.23,0.1
3387,102268,2026-05-09,13,3,4,1,61.03,21.63,0.05
4348,102877,2025-03-01,14,3,4,2,28.95,9.74,0.05
18434,112157,2025-05-20,2,2,2,1,122.57,44.48,0.1
15540,110250,2024-05-30,15,1,4,2,55.84,21.53,0.1
6546,104347,2025-02-13,10,1,2,1,65.1,23.54,0.05
2636,101765,2025-07-10,14,2,4,1,31.04,10.45,0.05
14230,109388,2025-01-17,11,4,4,1,43.22,13.49,0.0
3028,102020,2024-06-08,12,2,4,1,85.91,26.41,0.1
16450,110851,2024-05-10,6,2,1,1,75.48,29.62,0.05
20918,113803,2025-03-12,8,2,5,1,54.8,19.32,0.1
3317,102218,2026-08-08,1,5,3,1,66.71,28.18,0.2
18266,112046,2025-11-20,2,2,4,1,121.36,45.5,0.1
21061,113896,2025-07-19,11,1,3,1,42.82,13.04,0.15
19454,112838,2026-05-11,5,2,1,1,101.47,43.35,0.1
15571,110274,2026-07-30,1,2,3,1,69.86,27.5,0.05
21336,114081,2026-08-16,6,3,4,2,81.6,34.36,0.05
3802,102525,2026-08-02,10,5,4,1,64.44,24.61,0.15
12782,108462,2024-05-26,13,1,4,1,60.42,19.55,0.05
14373,109479,2025-03-30,1,5,4,1,70.87,25.92,0.1
15495,110218,2025-06-20,9,2,4,2,72.93,28.36,0.0
7304,104853,2026-07-01,2,2,5,1,120.76,48.01,0.0
14134,109327,2025-11-05,12,1,1,1,80.68,29.04,0.15
7616,105049,2026-05-13,5,5,2,3,95.79,43.42,0.2
9333,106184,2026-07-31,12,1,4,1,83.19,29.26,0.1
20972,113838,2024-02-18,9,3,5,2,70.1,27.49,0.0
14284,109423,2025-04-10,12,3,4,1,87.61,27.25,0.05
8972,105950,2026-01-17,11,2,4,1,42.95,14.03,0.05
9810,106502,2024-05-05,12,5,4,1,80.26,26.5,0.2
13291,108788,2026-03-11,15,5,4,2,60.35,22.66,0.05
11151,107375,2026-07-22,6,1,4,1,80.42,34.13,0.0
3287,102195,2024-02-09,5,3,4,3,98.68,38.55,0.05
19581,112915,2026-06-29,5,3,1,3,97.57,41.78,0.1
2085,101390,2025-08-15,2,1,3,1,115.63,46.42,0.1
20375,113445,2025-06-15,4,5,3,1,90.22,33.51,0.1
15394,110153,2025-06-10,5,5,5,2,93.67,41.09,0.05
22146,114610,2026-03-30,2,3,4,1,114.53,45.1,0.0
22007,114525,2024-12-17,2,5,4,2,122.46,42.82,0.15
13944,109207,2024-05-21,1,5,4,2,66.02,25.36,0.2
21236,114010,2024-06-12,10,1,4,1,63.88,22.2,0.15
10606,107013,2025-07-25,14,4,5,1,29.91,10.49,0.0
15954,110512,2024-12-20,8,1,4,1,52.03,18.79,0.1
12496,108270,2024-06-25,7,5,2,2,47.55,17.04,0.2
16594,110945,2024-12-30,14,4,2,1,29.31,9.93,0.05
8828,105857,2024-06-09,14,4,4,1,29.25,9.77,0.05
6776,104499,2026-06-14,14,4,4,1,30.92,10.45,0.0
11251,107443,2025-07-07,1,1,2,1,66.05,26.84,0.1
899,100597,2025-04-30,4,4,4,1,86.24,32.97,0.0
1685,101123,2026-08-29,2,4,3,1,113.83,46.72,0.0
17703,111660,2024-09-01,7,3,2,1,51.41,17.98,0.1
10476,106935,2024-12-16,8,2,2,1,54.48,19.05,0.0
20269,113379,2026-04-09,2,3,5,1,123.03,46.75,0.1
7153,104749,2024-08-15,11,1,5,2,43.38,12.82,0.05
4105,102723,2026-04-13,14,5,4,1,28.12,10.59,0.15
14593,109626,2026-03-25,14,2,4,1,28.01,10.38,0.0
20443,113485,2026-04-05,7,2,4,1,50.07,18.64,0.0
19282,112723,2025-07-13,11,3,2,1,41.77,13.69,0.0
6527,104333,2024-02-25,9,5,4,1,71.97,27.67,0.2
3116,102082,2025-04-01,2,1,3,1,116.16,43.19,0.15
13742,109080,2025-11-14,5,2,3,1,93.29,41.58,0.0
9846,106527,2026-05-25,8,1,4,3,52.65,20.79,0.0
18039,111897,2025-03-05,15,3,4,2,61.05,22.28,0.0
14164,109344,2024-08-16,7,3,4,3,50.41,17.75,0.1
6706,104452,2025-04-18,15,5,2,2,59.32,21.84,0.05
18196,112002,2026-07-16,6,3,3,1,82.2,33.79,0.0
13327,108809,2026-02-12,3,5,3,1,51.87,20.91,0.2
9854,106533,2025-03-13,8,2,4,1,49.92,19.92,0.1
5996,103977,2025-01-25,4,3,1,2,83.82,32.88,0.1
16163,110656,2024-01-22,1,2,5,1,70.22,24.12,0.1
5020,103342,2026-04-11,12,1,5,1,86.7,29.65,0.1
13199,108731,2026-02-18,5,2,4,1,96.56,40.63,0.0
2865,101919,2026-07-05,12,3,4,1,79.84,30.0,0.1
6613,104395,2024-05-07,9,1,4,2,75.42,27.87,0.1
135,100086,2025-02-28,5,2,2,1,103.24,40.91,0.0
2189,101469,2024-12-13,14,2,4,1,29.09,10.03,0.05
20640,113616,2024-12-26,15,1,2,1,58.79,22.08,0.1
14932,109842,2024-11-10,13,4,3,3,56.05,19.3,0.0
12139,108040,2025-03-19,10,3,4,1,65.54,23.76,0.0
8517,105643,2024-07-10,7,3,4,1,48.29,17.26,0.05
3367,102255,2026-07-30,8,1,2,1,54.76,20.95,0.15
6726,104467,2025-12-02,2,4,5,1,121.52,46.44,0.0
7440,104944,2024-04-07,3,3,3,1,53.45,18.9,0.0
2360,101572,2026-08-01,1,5,2,1,69.48,27.52,0.05
14734,109718,2024-02-06,3,2,4,3,55.57,18.4,0.05
11056,107316,2024-01-08,11,1,4,1,43.38,12.48,0.05
16040,110573,2024-02-27,2,1,4,1,113.97,41.93,0.0
20692,113651,2024-12-21,15,3,3,2,60.3,21.66,0.05
4547,103018,2025-04-05,1,5,5,1,68.99,25.43,0.2
6225,104127,2025-03-28,8,3,4,3,53.28,19.44,0.0
20774,113703,2026-06-22,12,2,2,1,81.07,30.28,0.05
20882,113780,2024-02-24,9,3,4,1,75.33,27.76,0.0
7585,105033,2024-01-14,12,2,2,1,87.4,26.09,0.1
20064,113235,2024-08-16,15,1,2,1,61.58,21.58,0.05
15026,109908,2025-03-06,15,3,3,1,61.31,21.87,0.0
5184,103453,2026-06-22,9,5,4,2,69.74,30.53,0.15
6000,103981,2024-05-27,7,2,5,1,48.05,17.14,0.0
12297,108144,2025-01-13,15,4,4,1,55.72,22.48,0.0
5844,103872,2026-06-13,1,3,4,1,69.02,26.68,0.1
470,100301,2025-09-09,4,4,4,1,87.08,33.53,0.0
11238,107431,2024-10-27,13,2,4,1,60.55,20.08,0.05
22661,114946,2026-01-09,2,4,2,2,118.14,45.78,0.05
4529,103005,2024-04-18,11,3,5,2,41.99,12.44,0.0
11257,107447,2025-03-25,4,1,1,1,90.31,33.41,0.1
9385,106220,2026-03-29,9,2,3,1,71.47,29.75,0.05
1247,100822,2024-11-05,15,1,5,1,58.59,22.41,0.1
11837,107840,2025-10-17,4,5,4,1,87.09,34.56,0.05
15710,110363,2025-05-14,11,5,2,1,43.33,13.15,0.1
1454,100963,2026-08-28,5,1,5,2,93.83,41.55,0.0
7801,105171,2024-03-11,3,3,1,1,56.16,18.21,0.0
15054,109923,2024-12-05,8,2,5,1,52.52,19.44,0.0
9669,106407,2024-02-03,12,1,3,1,86.04,26.18,0.1
11889,107875,2024-11-18,4,1,5,1,91.92,31.53,0.05
14727,109713,2025-03-20,12,2,4,1,80.23,28.4,0.0
4011,102659,2024-08-25,14,1,5,1,30.28,9.65,0.05
7734,105130,2026-04-23,11,1,4,1,44.84,13.73,0.1
4703,103122,2026-08-09,9,1,3,1,76.89,30.33,0.05
17085,111261,2025-05-02,15,5,2,1,60.83,22.26,0.1
2509,101669,2025-07-22,7,3,3,1,47.9,18.66,0.05
1088,100724,2025-10-25,15,3,3,1,60.91,22.28,0.05
10012,106643,2026-06-21,8,2,4,2,50.3,20.59,0.05
10244,106795,2026-06-19,7,1,4,1,47.27,19.06,0.1
4578,103040,2026-02-18,10,1,2,1,64.34,23.81,0.05
6664,104428,2025-11-17,12,3,3,1,82.59,28.06,0.0
20834,113746,2026-05-19,2,5,5,2,112.09,45.72,0.1
5091,103396,2026-01-19,1,2,4,1,72.29,26.64,0.0
9190,106081,2025-05-16,7,3,2,1,46.68,17.93,0.05
14965,109866,2024-04-05,15,2,5,2,62.13,21.71,0.05
19352,112767,2025-08-28,6,2,2,1,82.97,32.48,0.05
11439,107574,2024-10-24,14,4,5,1,30.57,10.11,0.0
9301,106161,2025-11-17,15,2,4,3,62.14,23.05,0.05
19514,112878,2026-01-01,8,4,2,1,49.6,20.6,0.05
11286,107470,2024-09-19,9,3,4,1,70.1,28.13,0.1
6675,104435,2024-08-13,4,3,5,1,92.18,32.28,0.1
18884,112462,2025-03-17,11,2,4,1,44.55,12.96,0.0
12458,108246,2024-02-04,2,1,2,1,113.57,42.48,0.05
6848,104547,2026-05-04,6,4,4,1,75.18,32.65,0.05
15745,110384,2026-06-14,1,3,3,3,71.18,26.81,0.0
20652,113623,2025-03-24,13,1,4,1,56.06,20.59,0.05
15187,110019,2024-04-12,9,4,4,2,77.46,27.52,0.0
9414,106239,2026-08-31,3,4,3,1,52.96,20.55,0.0
3572,102392,2024-05-16,15,2,3,1,58.49,21.58,0.0
2930,101961,2025-04-19,1,2,2,1,68.67,26.66,0.0
20728,113674,2024-03-11,12,3,3,4,85.01,25.99,0.05
13036,108624,2024-06-08,5,2,4,2,103.49,37.9,0.05
10804,107153,2024-01-19,4,1,3,2,88.97,30.84,0.15
5812,103851,2025-09-19,15,5,4,1,60.07,22.06,0.15
8351,105534,2026-06-08,1,1,4,1,68.63,26.83,0.15
21200,113989,2025-12-22,10,1,5,4,64.02,23.76,0.05
11810,107820,2026-02-06,7,2,5,1,48.36,18.88,0.05
13713,109060,2024-08-25,1,4,4,1,67.36,25.43,0.05
11321,107495,2026-06-23,3,2,4,1,53.24,20.72,0.1
6880,104571,2024-12-18,9,4,1,4,77.63,28.4,0.0
17560,111576,2026-06-27,3,2,4,1,52.2,20.9,0.0
4822,103205,2025-02-16,2,2,2,1,117.14,44.94,0.1
1202,100794,2025-08-05,15,3,2,1,60.18,22.38,0.05
9505,106302,2025-01-20,4,1,5,1,91.72,33.04,0.15
1298,100858,2024-12-21,4,3,2,1,85.31,33.22,0.1
6454,104281,2025-07-01,2,1,1,2,123.01,44.79,0.05
20478,113507,2024-01-23,8,4,4,1,53.06,18.06,0.05
7439,104944,2024-04-07,4,3,3,1,86.32,30.64,0.1
279,100176,2024-01-14,2,4,5,1,121.13,42.88,0.05
11164,107383,2025-01-28,12,2,4,1,86.53,28.04,0.0
6070,104031,2024-12-02,14,1,5,1,27.88,9.89,0.05
9346,106192,2026-03-30,2,5,4,1,113.15,46.82,0.15
10155,106739,2024-10-30,11,4,4,1,43.03,12.7,0.05
18442,112162,2025-12-13,9,2,5,1,70.92,29.15,0.1
7008,104657,2025-04-28,4,2,3,2,86.24,32.61,0.05
17164,111312,2024-10-19,12,2,5,2,80.69,27.67,0.1
17277,111391,2025-01-21,15,5,4,1,56.31,22.6,0.2
19856,113095,2025-06-10,14,2,2,1,30.25,10.24,0.0
9253,106125,2025-12-26,1,3,4,1,66.45,27.32,0.0
12680,108397,2025-09-18,9,2,3,2,77.72,29.36,0.1
218,100138,2025-07-14,12,3,1,2,86.57,28.32,0.0
19292,112728,2024-03-30,1,2,4,2,68.7,24.64,0.0
20448,113488,2025-12-14,10,1,2,1,67.46,23.55,0.1
2301,101536,2026-08-09,14,3,2,1,29.91,10.82,0.05
12304,108148,2026-07-04,7,1,5,1,51.25,18.75,0.0
22260,114685,2025-06-01,13,1,4,1,56.68,20.11,0.05
6741,104474,2025-03-13,4,1,4,1,92.88,32.31,0.1
21508,114200,2026-06-01,4,5,3,2,84.37,35.44,0.1
2013,101341,2025-02-16,7,4,4,1,49.16,18.07,0.0
16680,110997,2025-01-10,9,3,2,1,76.03,27.63,0.1
2233,101496,2026-08-07,6,1,1,1,77.01,33.45,0.05
9350,106196,2026-06-29,14,5,4,1,29.66,10.72,0.15
17745,111689,2026-06-13,12,4,2,1,86.45,30.22,0.05
12311,108155,2024-03-24,2,5,4,1,116.4,43.56,0.1
13001,108600,2025-08-01,5,1,4,2,97.2,39.95,0.0
21679,114313,2025-11-06,11,3,1,1,41.93,13.5,0.05
20963,113831,2025-09-19,2,2,5,3,121.42,45.11,0.05
200,100127,2024-04-17,15,5,4,3,56.54,21.63,0.2
21798,114395,2025-06-22,5,4,5,1,102.52,40.52,0.05
11419,107561,2026-02-20,5,4,2,1,99.57,43.01,0.05
20757,113693,2024-09-03,4,1,2,1,93.04,31.59,0.1
5438,103614,2026-03-28,11,4,4,1,45.03,13.46,0.0
2982,101992,2024-04-22,3,2,4,1,54.66,18.87,0.0
2389,101586,2025-12-15,12,3,2,1,85.41,29.32,0.05
11000,107282,2026-02-18,6,5,2,1,77.12,33.24,0.15
7785,105161,2025-03-19,4,1,2,1,87.33,32.49,0.05
10544,106975,2024-06-30,12,5,3,2,82.32,26.88,0.2
21676,114312,2025-01-08,4,2,3,2,88.39,32.33,0.05
21415,114132,2026-02-27,10,4,5,2,60.46,24.51,0.0
14729,109714,2025-06-08,5,1,3,1,98.32,39.73,0.1
4979,103315,2024-12-08,9,2,5,2,74.61,27.92,0.1
4789,103182,2024-03-17,10,2,5,1,64.32,22.44,0.0
10202,106766,2025-03-27,14,3,5,2,30.82,10.31,0.1
18907,112477,2024-10-09,1,3,4,1,70.82,24.75,0.05
13595,108982,2025-06-05,2,5,1,1,111.68,43.85,0.05
2860,101915,2024-03-16,6,5,4,1,77.37,30.44,0.2
6975,104637,2025-11-02,8,2,3,2,54.25,20.45,
7364,104891,2024-09-05,3,4,4,1,52.89,19.58,0.0
2753,101844,2026-08-09,14,2,5,1,30.17,10.82,0.05
15911,110489,2025-04-29,2,4,5,3,120.91,43.71,0.05
20801,113724,2026-07-14,15,3,5,2,61.29,23.76,0.0
15740,110380,2026-04-16,3,4,1,2,54.34,20.55,0.0
13759,109091,2025-02-15,5,1,4,1,94.89,40.64,0.05
17907,111803,2024-01-20,13,3,5,1,61.83,18.46,0.05
3526,102359,2025-02-05,10,3,4,2,65.8,23.61,0.1
6363,104219,2025-03-02,2,4,1,1,112.73,44.64,0.0
7859,105212,2026-04-15,12,1,4,1,81.13,28.54,0.0
10013,106643,2026-06-21,7,2,4,2,49.22,19.29,0.05
120,100078,2025-02-08,3,3,2,1,53.89,19.73,0.1
3579,102397,2024-11-29,14,2,5,1,30.59,9.88,0.0
10506,106953,2024-02-21,9,5,4,3,71.66,26.41,0.15
8204,105432,2025-02-16,9,4,4,1,75.93,28.98,0.05
5922,103927,2026-07-03,14,5,4,1,28.07,10.49,0.2
20039,113217,2025-01-20,11,4,4,1,42.07,13.2,0.0
15843,110443,2025-07-23,8,4,5,1,51.66,20.21,0.05
14393,109492,2024-01-18,2,3,4,1,117.79,42.48,0.05
6742,104474,2025-03-13,11,1,4,1,43.53,12.81,0.15
12484,108262,2026-05-20,8,1,4,2,52.83,21.06,0.05
20540,113551,2024-12-17,15,3,5,1,60.85,22.07,0.1
14294,109430,2024-06-11,4,2,3,1,92.84,32.47,0.1
1115,100740,2026-05-27,8,1,1,3,53.39,20.79,0.0
9801,106495,2025-11-10,12,5,1,1,82.34,29.42,0.05
7242,104808,2025-11-09,15,3,4,1,61.55,22.3,0.0
14764,109738,2025-11-27,15,4,4,2,60.67,22.36,0.0
19081,112599,2025-08-02,13,1,4,1,56.93,20.02,0.0
22142,114608,2024-09-17,7,3,4,1,50.3,18.07,0.1
16440,110846,2026-06-22,14,4,4,1,30.66,10.72,0.0
8936,105926,2024-01-10,10,1,4,1,65.74,21.83,0.05
22325,114727,2024-04-23,9,1,4,3,76.65,26.88,0.15
18240,112032,2025-10-12,5,5,4,1,99.36,40.57,0.2
17419,111483,2025-12-25,11,2,2,1,43.78,13.56,0.05
15623,110308,2025-02-09,10,5,2,1,61.31,23.17,0.2
8363,105542,2026-01-19,4,1,4,2,84.49,34.88,0.15
16215,110692,2025-05-03,6,1,2,1,79.82,32.58,0.0
20219,113340,2024-12-18,8,3,4,2,51.7,19.11,0.0
17524,111552,2026-01-02,3,5,1,2,55.72,20.82,0.05
18188,111995,2024-04-24,14,1,5,1,28.63,9.56,0.05
429,100277,2024-03-14,3,1,2,1,56.41,18.2,0.15
7477,104969,2025-03-14,12,4,4,1,83.69,27.16,0.0
1183,100780,2024-11-07,5,1,4,2,93.12,38.75,0.1
20750,113689,2025-12-24,12,5,4,4,81.63,29.34,0.1
4986,103320,2026-08-24,11,2,4,1,41.8,14.01,0.05
17052,111239,2025-11-02,9,2,4,1,70.37,29.11,0.05
15556,110262,2025-10-23,6,1,4,1,80.95,32.28,0.15
17482,111524,2024-12-28,7,2,5,2,51.39,17.84,0.0
8699,105763,2025-11-03,10,2,4,2,65.09,23.33,0.0
3427,102293,2026-08-31,4,5,1,1,91.82,35.67,0.2
19566,112908,2026-03-14,13,5,2,1,56.65,21.33,0.05
16659,110982,2025-01-17,6,4,5,1,78.01,31.3,0.05
17546,111566,2025-02-14,7,4,4,1,50.63,17.74,0.05
14526,109582,2025-05-29,13,4,4,1,61.42,19.99,0.05
20011,113195,2024-11-12,9,2,3,1,75.38,27.89,0.05
12550,108309,2025-03-09,7,1,4,1,46.9,18.36,0.05
1969,101314,2024-10-20,8,3,4,1,53.95,19.12,0.05
3695,102466,2024-12-18,15,5,4,1,60.22,21.93,0.15
448,100288,2026-05-01,15,2,1,1,58.95,22.89,0.0
3818,102533,2024-10-27,9,4,4,1,77.03,27.8,0.0
3663,102448,2025-01-05,12,5,4,1,87.83,28.42,0.1
8224,105448,2025-05-12,15,1,5,1,57.87,21.98,0.15
21435,114148,2026-05-12,15,2,4,3,57.06,22.95,0.05
10030,106656,2026-02-26,8,1,2,1,50.94,19.93,0.1
15945,110508,2025-07-04,3,2,1,1,55.26,19.6,0.1
16633,110969,2025-11-04,13,4,2,1,58.56,20.42,0.0
22235,114669,2026-06-01,3,2,2,3,56.11,20.49,0.05
1216,100803,2024-01-31,1,1,1,2,68.8,24.84,0.0
4564,103029,2024-05-09,12,1,4,1,86.09,26.98,0.15
14737,109719,2025-05-17,9,4,4,2,72.87,28.32,0.0
8613,105706,2025-03-23,14,2,1,1,30.91,10.07,0.05
21440,114151,2026-03-17,15,4,5,1,61.6,23.43,0.0
2054,101366,2026-02-28,5,1,4,1,100.69,41.69,0.0
19515,112878,2026-01-01,9,4,2,2,74.08,29.29,0.05
4521,103001,2026-01-08,11,4,2,2,46.55,13.45,0.0
