id_orcamento,mes_referencia,id_produto,id_canal,id_regiao,quantidade_orcada,receita_orcada,custo_orcado,margem_orcada
45,2024-01-01,3,2,1,1,50.4,19.31,31.09
46,2024-01-01,3,2,2,4,199.84,73.0,126.84
47,2024-01-01,3,2,3,4,198.48,72.41,126.07
48,2024-01-01,3,2,4,2,96.82,33.11,63.71
49,2024-01-01,3,2,5,2,96.6,35.13,61.47
50,2024-01-01,3,3,1,1,58.53,21.67,36.86
51,2024-01-01,3,3,2,2,107.24,41.07,66.17
52,2024-01-01,3,3,3,1,59.03,19.47,39.56
53,2024-01-01,3,3,4,4,197.47,69.77,127.7
54,2024-01-01,3,3,5,2,103.63,37.07,66.56
55,2024-01-01,3,4,2,2,112.13,41.94,70.19
56,2024-01-01,3,4,4,10,520.07,180.58,339.49
57,2024-01-01,3,4,5,1,51.74,18.61,33.13
58,2024-01-01,3,5,1,1,44.37,18.62,25.75
59,2024-01-01,3,5,2,1,46.36,18.63,27.73
60,2024-01-01,3,5,4,2,84.2,34.05,50.15
61,2024-01-01,3,5,5,1,48.77,16.71,32.06
62,2024-01-01,4,1,2,3,223.33,87.52,135.81
63,2024-01-01,4,1,3,2,136.79,55.81,80.98
64,2024-01-01,4,1,4,6,463.06,178.57,284.49
65,2024-01-01,4,1,5,1,69.09,27.27,41.82
66,2024-01-01,4,2,2,5,423.4,157.19,266.21
67,2024-01-01,4,2,3,2,168.89,59.58,109.31
68,2024-01-01,4,2,4,3,219.22,87.27,131.95
69,2024-01-01,4,2,5,1,92.74,30.35,62.39
70,2024-01-01,4,3,2,2,179.23,67.13,112.1
71,2024-01-01,4,3,3,1,84.91,32.13,52.78
72,2024-01-01,4,3,4,7,594.51,214.55,379.96
73,2024-01-01,4,3,5,8,637.71,240.85,396.86
74,2024-01-01,4,4,1,1,103.21,36.79,66.42
75,2024-01-01,4,4,3,3,269.74,101.57,168.17
76,2024-01-01,4,4,4,3,269.08,95.54,173.54
77,2024-01-01,4,4,5,1,91.92,32.06,59.86
78,2024-01-01,4,5,2,2,168.98,60.37,108.61
79,2024-01-01,4,5,4,2,147.83,56.73,91.1
80,2024-01-01,5,1,1,1,84.1,35.78,48.32
81,2024-01-01,5,1,2,1,77.29,36.35,40.94
82,2024-01-01,5,1,3,2,155.89,70.22,85.67
83,2024-01-01,5,1,4,6,533.27,216.25,317.02
84,2024-01-01,5,1,5,2,184.52,68.67,115.85
85,2024-01-01,5,2,2,3,293.76,118.73,175.03
86,2024-01-01,5,2,4,11,1005.08,392.4,612.68
87,2024-01-01,5,2,5,4,367.16,143.52,223.64
88,2024-01-01,5,3,1,1,113.42,42.8,70.62
89,2024-01-01,5,3,2,1,114.01,41.23,72.78
90,2024-01-01,5,3,3,2,200.68,74.14,126.54
91,2024-01-01,5,3,4,2,174.79,74.18,100.61
92,2024-01-01,5,3,5,3,277.7,114.28,163.42
93,2024-01-01,5,4,2,4,434.65,167.99,266.66
94,2024-01-01,5,4,3,2,202.52,82.28,120.24
95,2024-01-01,5,4,4,7,711.61,274.66,436.95
96,2024-01-01,5,4,5,1,100.31,40.09,60.22
97,2024-01-01,5,5,2,1,90.73,38.12,52.61
98,2024-01-01,5,5,3,4,327.76,143.94,183.82
99,2024-01-01,5,5,4,9,796.28,339.09,457.19
100,2024-01-01,5,5,5,5,360.16,174.39,185.77
101,2024-01-01,6,1,1,1,72.31,28.34,43.97
102,2024-01-01,6,1,2,1,65.78,29.01,36.77
103,2024-01-01,6,1,3,4,278.9,109.88,169.02
104,2024-01-01,6,1,4,2,132.34,48.13,84.21
105,2024-01-01,6,1,5,1,69.3,26.57,42.73
106,2024-01-01,6,2,1,1,77.13,32.29,44.84
107,2024-01-01,6,2,4,3,203.86,81.82,122.04
108,2024-01-01,6,2,5,3,226.88,85.31,141.57
109,2024-01-01,6,3,1,2,173.23,70.97,102.26
110,2024-01-01,6,3,2,2,164.37,61.48,102.89
111,2024-01-01,6,3,3,3,230.93,93.83,137.1
112,2024-01-01,6,3,4,7,501.6,208.0,293.6
113,2024-01-01,6,3,5,4,321.05,120.8,200.25
114,2024-01-01,6,4,4,2,155.18,58.77,96.41
115,2024-01-01,6,4,5,3,232.94,94.7,138.24
116,2024-01-01,6,5,4,3,225.93,104.92,121.01
117,2024-01-01,7,1,1,2,81.25,32.8,48.45
118,2024-01-01,7,1,2,6,262.8,95.42,167.38
119,2024-01-01,7,1,3,2,81.14,30.8,50.34
120,2024-01-01,7,1,4,8,344.31,131.98,212.33
121,2024-01-01,7,1,5,2,80.99,30.12,50.87
122,2024-01-01,7,2,1,2,93.99,36.4,57.59
123,2024-01-01,7,2,2,6,305.54,107.67,197.87
124,2024-01-01,7,2,4,4,181.47,62.35,119.12
125,2024-01-01,7,2,5,4,189.63,67.24,122.39
126,2024-01-01,7,3,2,4,187.28,74.68,112.6
127,2024-01-01,7,3,3,2,96.96,35.21,61.75
128,2024-01-01,7,3,4,4,192.14,68.75,123.39
129,2024-01-01,7,4,2,1,57.58,19.2,38.38
130,2024-01-01,7,4,3,1,51.12,17.79,33.33
131,2024-01-01,7,4,4,2,94.61,34.18,60.43
132,2024-01-01,7,5,1,1,43.91,16.77,27.14
133,2024-01-01,7,5,2,1,38.25,17.15,21.1
134,2024-01-01,7,5,3,3,131.8,47.4,84.4
135,2024-01-01,7,5,4,14,603.12,236.09,367.03
136,2024-01-01,7,5,5,1,44.59,16.57,28.02
137,2024-01-01,8,1,2,6,282.14,104.38,177.76
138,2024-01-01,8,1,3,2,89.18,33.25,55.93
139,2024-01-01,8,1,4,4,196.27,78.35,117.92
140,2024-01-01,8,1,5,5,233.14,85.74,147.4
141,2024-01-01,8,2,2,2,104.89,37.74,67.15
142,2024-01-01,8,2,3,2,99.27,37.58,61.69
143,2024-01-01,8,2,4,4,226.49,83.29,143.2
144,2024-01-01,8,2,5,8,387.62,136.0,251.62
145,2024-01-01,8,3,1,2,119.62,42.07,77.55
146,2024-01-01,8,3,2,6,277.93,102.73,175.2
147,2024-01-01,8,3,3,6,300.27,116.75,183.52
148,2024-01-01,8,3,4,9,431.05,162.61,268.44
149,2024-01-01,8,3,5,2,101.74,36.96,64.78
150,2024-01-01,8,4,2,5,226.83,82.98,143.85
151,2024-01-01,8,4,3,6,310.77,112.95,197.82
152,2024-01-01,8,4,4,5,246.81,89.77,157.04
153,2024-01-01,8,4,5,3,164.72,60.01,104.71
154,2024-01-01,8,5,1,1,40.71,19.45,21.26
155,2024-01-01,8,5,2,1,44.84,19.1,25.74
156,2024-01-01,8,5,4,4,210.5,82.73,127.77
157,2024-01-01,9,1,3,1,68.34,24.39,43.95
158,2024-01-01,9,1,4,4,294.26,116.0,178.26
159,2024-01-01,9,2,3,1,66.97,25.89,41.08
160,2024-01-01,9,2,4,2,124.59,48.91,75.68
161,2024-01-01,9,2,5,3,201.93,77.8,124.13
162,2024-01-01,9,3,2,2,141.1,56.54,84.56
163,2024-01-01,9,3,3,1,80.88,27.33,53.55
164,2024-01-01,9,3,4,4,291.56,107.74,183.82
165,2024-01-01,9,4,3,3,220.79,84.5,136.29
166,2024-01-01,9,4,4,2,144.91,54.41,90.5
167,2024-01-01,9,5,3,3,191.99,72.91,119.08
168,2024-01-01,9,5,5,2,113.36,50.21,63.15
169,2024-01-01,10,1,2,2,127.84,41.39,86.45
170,2024-01-01,10,1,3,2,107.62,37.3,70.32
171,2024-01-01,10,1,4,4,265.1,93.56,171.54
172,2024-01-01,10,1,5,1,58.55,19.0,39.55
173,2024-01-01,10,2,2,1,65.42,22.93,42.49
174,2024-01-01,10,2,4,8,477.27,174.19,303.08
175,2024-01-01,10,2,5,4,241.5,86.57,154.93
176,2024-01-01,10,3,1,2,151.85,50.26,101.59
177,2024-01-01,10,3,2,1,71.35,24.48,46.87
178,2024-01-01,10,3,3,5,308.89,111.22,197.67
179,2024-01-01,10,3,4,4,216.44,83.95,132.49
180,2024-01-01,10,3,5,4,231.49,84.45,147.04
181,2024-01-01,10,4,2,4,265.41,94.68,170.73
182,2024-01-01,10,4,4,3,176.44,63.84,112.6
183,2024-01-01,10,4,5,3,194.08,69.1,124.98
184,2024-01-01,10,5,2,2,117.75,43.73,74.02
185,2024-01-01,10,5,4,2,92.81,38.45,54.36
186,2024-01-01,10,5,5,2,95.5,41.82,53.68
187,2024-01-01,11,1,2,4,160.29,46.68,113.61
188,2024-01-01,11,1,3,1,36.82,11.79,25.03
189,2024-01-01,11,1,4,5,209.13,61.29,147.84
190,2024-01-01,11,1,5,2,80.3,22.87,57.43
191,2024-01-01,11,2,1,2,84.44,25.15,59.29
192,2024-01-01,11,2,3,3,127.03,37.8,89.23
193,2024-01-01,11,2,4,4,154.56,45.87,108.69
194,2024-01-01,11,2,5,2,82.96,23.45,59.51
195,2024-01-01,11,3,2,3,134.58,40.12,94.46
196,2024-01-01,11,3,3,2,84.13,25.84,58.29
197,2024-01-01,11,3,4,6,242.35,71.58,170.77
198,2024-01-01,11,3,5,2,81.72,24.71,57.01
199,2024-01-01,11,4,1,1,54.66,14.54,40.12
200,2024-01-01,11,4,2,1,50.68,14.07,36.61
201,2024-01-01,11,4,3,4,189.95,51.01,138.94
202,2024-01-01,11,4,4,3,129.06,36.39,92.67
203,2024-01-01,11,4,5,1,44.31,12.72,31.59
204,2024-01-01,11,5,2,1,41.25,12.56,28.69
205,2024-01-01,11,5,3,1,37.54,12.24,25.3
206,2024-01-01,11,5,4,5,167.48,57.75,109.73
207,2024-01-01,11,5,5,2,74.23,23.49,50.74
208,2024-01-01,12,1,2,7,522.2,171.57,350.63
209,2024-01-01,12,1,3,7,518.53,171.56,346.97
210,2024-01-01,12,1,4,3,208.58,70.67,137.91
211,2024-01-01,12,1,5,4,269.32,91.96,177.36
212,2024-01-01,12,2,2,5,409.13,130.14,278.99
213,2024-01-01,12,2,3,2,158.37,53.81,104.56
214,2024-01-01,12,2,4,5,370.87,118.41,252.46
215,2024-01-01,12,2,5,3,223.02,73.79,149.23
216,2024-01-01,12,3,2,2,166.04,56.16,109.88
217,2024-01-01,12,3,3,8,688.94,225.89,463.05
218,2024-01-01,12,3,4,4,314.79,104.54,210.25
219,2024-01-01,12,3,5,2,161.77,51.75,110.02
220,2024-01-01,12,4,3,1,85.44,29.13,56.31
221,2024-01-01,12,4,4,10,839.7,272.3,567.4
222,2024-01-01,12,4,5,3,267.23,82.47,184.76
223,2024-01-01,12,5,2,1,70.51,25.25,45.26
224,2024-01-01,12,5,4,4,333.29,110.78,222.51
225,2024-01-01,13,1,2,2,102.73,36.5,66.23
226,2024-01-01,13,1,3,1,48.44,16.33,32.11
227,2024-01-01,13,1,4,3,144.85,49.82,95.03
228,2024-01-01,13,1,5,4,193.19,65.05,128.14
229,2024-01-01,13,2,2,2,114.07,37.37,76.7
230,2024-01-01,13,2,3,8,447.09,156.45,290.64
231,2024-01-01,13,2,4,7,365.99,126.29,239.7
232,2024-01-01,13,2,5,6,322.77,108.75,214.02
233,2024-01-01,13,3,1,2,126.39,41.05,85.34
234,2024-01-01,13,3,3,2,116.19,37.54,78.65
235,2024-01-01,13,3,4,1,55.05,17.32,37.73
236,2024-01-01,13,3,5,2,115.1,37.16,77.94
237,2024-01-01,13,4,1,3,196.51,65.1,131.41
238,2024-01-01,13,4,2,1,63.73,20.57,43.16
239,2024-01-01,13,4,3,1,66.59,20.38,46.21
240,2024-01-01,13,4,4,11,645.42,212.76,432.66
241,2024-01-01,13,4,5,3,173.34,56.65,116.69
242,2024-01-01,13,5,1,1,49.45,18.49,30.96
243,2024-01-01,13,5,4,6,291.48,104.64,186.84
244,2024-01-01,14,1,2,6,143.9,52.75,91.15
245,2024-01-01,14,1,4,7,192.6,63.87,128.73
246,2024-01-01,14,2,2,2,55.25,18.61,36.64
247,2024-01-01,14,2,4,5,123.54,42.89,80.65
248,2024-01-01,14,2,5,1,24.71,9.01,15.7
249,2024-01-01,14,3,1,3,100.84,31.49,69.35
250,2024-01-01,14,3,2,4,113.81,41.0,72.81
251,2024-01-01,14,3,4,7,198.12,61.28,136.84
252,2024-01-01,14,4,2,7,192.79,60.39,132.4
253,2024-01-01,14,4,3,1,29.71,10.26,19.45
254,2024-01-01,14,4,5,1,31.08,9.95,21.13
255,2024-01-01,14,5,1,2,53.41,20.28,33.13
256,2024-01-01,14,5,2,5,126.2,47.42,78.78
257,2024-01-01,14,5,4,5,134.37,48.98,85.39
258,2024-01-01,14,5,5,4,97.82,35.82,62.0
259,2024-01-01,15,1,1,5,292.79,109.12,183.67
260,2024-01-01,15,1,3,4,181.33,73.33,108.0
261,2024-01-01,15,1,4,6,345.88,124.29,221.59
262,2024-01-01,15,1,5,3,209.05,72.61,136.44
263,2024-01-01,15,2,2,3,167.9,65.61,102.29
264,2024-01-01,15,2,3,1,54.9,20.74,34.16
265,2024-01-01,15,2,4,4,199.39,73.35,126.04
266,2024-01-01,15,2,5,4,213.11,80.76,132.35
267,2024-01-01,15,3,2,1,61.98,23.23,38.75
268,2024-01-01,15,3,3,4,249.97,89.52,160.45
269,2024-01-01,15,3,4,6,329.33,125.62,203.71
270,2024-01-01,15,4,2,2,132.49,47.28,85.21
271,2024-01-01,15,4,4,1,63.79,21.46,42.33
272,2024-01-01,15,4,5,2,127.97,45.3,82.67
273,2024-01-01,15,5,2,2,108.86,43.94,64.92
274,2024-01-01,15,5,3,2,101.13,40.42,60.71
275,2024-01-01,15,5,4,7,346.28,145.58,200.7
276,2024-01-01,15,5,5,3,132.26,58.11,74.15
277,2024-02-01,1,1,1,1,65.99,24.24,41.75
278,2024-02-01,1,1,2,1,64.94,22.59,42.35
279,2024-02-01,1,1,3,1,61.23,21.19,40.04
280,2024-02-01,1,1,4,9,610.63,225.35,385.28
281,2024-02-01,1,1,5,4,235.71,89.48,146.23
282,2024-02-01,1,2,1,1,73.65,26.49,47.16
283,2024-02-01,1,2,2,1,62.43,25.19,37.24
284,2024-02-01,1,2,4,1,62.77,23.01,39.76
285,2024-02-01,1,3,2,2,147.9,53.04,94.86
286,2024-02-01,1,3,4,11,725.97,263.62,462.35
287,2024-02-01,1,3,5,3,197.15,75.78,121.37
288,2024-02-01,1,4,2,6,384.32,138.27,246.05
289,2024-02-01,1,4,3,1,74.04,25.34,48.7
290,2024-02-01,1,4,4,4,285.49,101.83,183.66
291,2024-02-01,1,5,3,1,49.44,23.44,26.0
292,2024-02-01,1,5,4,3,169.87,67.34,102.53
293,2024-02-01,1,5,5,1,49.07,21.51,27.56
294,2024-02-01,2,1,2,1,106.66,41.02,65.64
295,2024-02-01,2,1,3,4,382.43,148.06,234.37
296,2024-02-01,2,1,4,7,788.2,315.06,473.14
297,2024-02-01,2,1,5,3,280.32,109.66,170.66
298,2024-02-01,2,2,1,3,356.53,132.23,224.3
299,2024-02-01,2,2,2,2,227.42,85.57,141.85
300,2024-02-01,2,2,3,2,231.17,81.29,149.88
301,2024-02-01,2,2,4,2,211.48,77.39,134.09
302,2024-02-01,2,2,5,2,226.5,81.95,144.55
303,2024-02-01,2,3,2,1,111.83,46.11,65.72
304,2024-02-01,2,3,3,1,122.15,43.41,78.74
305,2024-02-01,2,3,4,2,210.46,78.35,132.11
306,2024-02-01,2,4,2,1,127.07,46.81,80.26
307,2024-02-01,2,4,3,3,372.64,137.43,235.21
308,2024-02-01,2,4,4,9,1035.11,374.78,660.33
309,2024-02-01,2,4,5,1,119.64,45.25,74.39
310,2024-02-01,2,5,2,1,100.38,42.06,58.32
311,2024-02-01,2,5,4,3,295.04,114.67,180.37
312,2024-02-01,2,5,5,2,181.49,79.69,101.8
313,2024-02-01,3,1,1,3,153.64,56.89,96.75
314,2024-02-01,3,1,2,3,129.55,53.88,75.67
315,2024-02-01,3,1,3,6,288.75,101.07,187.68
316,2024-02-01,3,1,4,3,182.01,64.55,117.46
317,2024-02-01,3,1,5,4,227.36,81.77,145.59
318,2024-02-01,3,2,3,1,53.08,17.65,35.43
319,2024-02-01,3,2,4,8,428.97,157.35,271.62
320,2024-02-01,3,2,5,1,47.45,16.97,30.48
321,2024-02-01,3,3,2,1,58.24,18.86,39.38
322,2024-02-01,3,3,4,8,414.64,141.22,273.42
323,2024-02-01,3,3,5,1,55.73,19.06,36.67
324,2024-02-01,3,4,2,2,115.72,42.6,73.12
325,2024-02-01,3,4,3,1,54.23,19.43,34.8
326,2024-02-01,3,4,4,3,157.02,54.56,102.46
327,2024-02-01,3,4,5,1,54.65,18.87,35.78
328,2024-02-01,3,5,1,1,47.89,18.55,29.34
329,2024-02-01,3,5,4,3,121.42,50.76,70.66
330,2024-02-01,3,5,5,2,90.71,34.42,56.29
331,2024-02-01,4,1,1,1,78.88,29.07,49.81
332,2024-02-01,4,1,3,1,72.22,27.68,44.54
333,2024-02-01,4,1,4,2,153.67,50.91,102.76
334,2024-02-01,4,1,5,5,426.49,158.63,267.86
335,2024-02-01,4,2,1,1,94.02,33.32,60.7
336,2024-02-01,4,2,2,4,355.89,127.86,228.03
337,2024-02-01,4,2,3,2,161.45,63.64,97.81
338,2024-02-01,4,2,4,2,150.23,54.6,95.63
339,2024-02-01,4,3,2,1,96.24,35.11,61.13
340,2024-02-01,4,3,4,5,407.07,147.82,259.25
341,2024-02-01,4,3,5,6,539.83,193.75,346.08
342,2024-02-01,4,4,2,1,87.37,32.87,54.5
343,2024-02-01,4,4,3,1,87.97,32.2,55.77
344,2024-02-01,4,4,4,4,359.1,123.7,235.4
345,2024-02-01,4,4,5,7,600.66,216.99,383.67
346,2024-02-01,4,5,2,1,77.67,30.07,47.6
347,2024-02-01,4,5,4,3,242.92,108.51,134.41
348,2024-02-01,5,1,1,1,86.97,37.74,49.23
349,2024-02-01,5,1,4,15,1387.72,570.58,817.14
350,2024-02-01,5,1,5,1,86.84,34.59,52.25
351,2024-02-01,5,2,1,1,94.97,40.17,54.8
352,2024-02-01,5,2,2,1,93.51,41.17,52.34
353,2024-02-01,5,2,4,9,819.78,350.58,469.2
354,2024-02-01,5,2,5,2,185.83,71.95,113.88
355,2024-02-01,5,3,2,1,110.23,41.55,68.68
356,2024-02-01,5,3,3,1,100.69,38.78,61.91
357,2024-02-01,5,3,4,7,630.5,246.45,384.05
358,2024-02-01,5,3,5,6,560.06,217.27,342.79
359,2024-02-01,5,4,2,2,220.16,82.41,137.75
360,2024-02-01,5,4,4,6,558.73,234.73,324.0
361,2024-02-01,5,4,5,1,89.0,37.99,51.01
362,2024-02-01,5,5,3,1,86.89,38.58,48.31
363,2024-02-01,5,5,4,2,169.38,70.24,99.14
364,2024-02-01,6,1,1,1,83.91,29.38,54.53
365,2024-02-01,6,1,4,3,236.41,104.71,131.7
366,2024-02-01,6,2,1,1,84.18,31.56,52.62
367,2024-02-01,6,2,3,2,134.07,56.59,77.48
368,2024-02-01,6,3,2,4,336.27,127.32,208.95
369,2024-02-01,6,3,4,4,296.97,114.95,182.02
370,2024-02-01,6,4,4,3,219.6,83.96,135.64
371,2024-02-01,6,5,2,2,153.58,59.19,94.39
372,2024-02-01,6,5,4,3,202.56,82.31,120.25
373,2024-02-01,6,5,5,5,302.84,139.29,163.55
374,2024-02-01,7,1,1,1,44.61,17.0,27.61
375,2024-02-01,7,1,2,5,243.77,82.55,161.22
376,2024-02-01,7,1,3,1,39.31,15.73,23.58
377,2024-02-01,7,1,4,4,187.64,70.94,116.7
378,2024-02-01,7,1,5,5,259.01,89.83,169.18
379,2024-02-01,7,2,1,1,54.55,18.1,36.45
380,2024-02-01,7,2,2,1,49.49,17.66,31.83
381,2024-02-01,7,2,4,5,206.58,78.65,127.93
382,2024-02-01,7,2,5,1,44.89,16.02,28.87
383,2024-02-01,7,3,2,3,140.4,54.14,86.26
384,2024-02-01,7,3,3,3,141.23,53.82,87.41
385,2024-02-01,7,3,4,8,368.01,134.64,233.37
386,2024-02-01,7,3,5,3,140.6,50.18,90.42
387,2024-02-01,7,4,2,2,106.67,35.96,70.71
388,2024-02-01,7,4,3,1,49.27,17.83,31.44
389,2024-02-01,7,4,4,4,194.95,69.2,125.75
390,2024-02-01,7,4,5,1,45.94,16.95,28.99
391,2024-02-01,7,5,4,4,184.07,75.46,108.61
392,2024-02-01,7,5,5,7,312.51,116.04,196.47
393,2024-02-01,8,1,1,2,83.81,35.33,48.48
394,2024-02-01,8,1,2,1,45.89,17.66,28.23
395,2024-02-01,8,1,3,2,79.52,35.05,44.47
396,2024-02-01,8,1,4,8,369.14,141.48,227.66
397,2024-02-01,8,1,5,1,42.25,15.75,26.5
398,2024-02-01,8,2,1,1,56.1,19.74,36.36
399,2024-02-01,8,2,2,2,104.97,37.25,67.72
400,2024-02-01,8,2,3,2,98.83,35.43,63.4
401,2024-02-01,8,2,4,8,369.96,139.59,230.37
402,2024-02-01,8,2,5,3,133.89,51.03,82.86
403,2024-02-01,8,3,4,8,381.84,141.68,240.16
404,2024-02-01,8,3,5,4,223.47,77.61,145.86
405,2024-02-01,8,4,2,5,268.13,100.49,167.64
406,2024-02-01,8,4,3,1,53.15,18.92,34.23
407,2024-02-01,8,4,4,2,100.26,36.09,64.17
408,2024-02-01,8,4,5,3,158.6,56.6,102.0
409,2024-02-01,8,5,2,2,92.51,38.58,53.93
410,2024-02-01,8,5,4,2,79.3,31.24,48.06
411,2024-02-01,8,5,5,1,40.16,16.56,23.6
412,2024-02-01,9,1,1,1,71.35,25.67,45.68
413,2024-02-01,9,1,2,3,201.45,77.36,124.09
414,2024-02-01,9,1,4,2,104.58,43.08,61.5
415,2024-02-01,9,1,5,3,176.59,74.35,102.24
416,2024-02-01,9,2,4,7,452.74,181.43,271.31
417,2024-02-01,9,2,5,3,212.76,80.61,132.15
418,2024-02-01,9,3,2,1,77.21,28.79,48.42
419,2024-02-01,9,3,4,10,728.47,273.77,454.7
420,2024-02-01,9,3,5,2,137.2,53.35,83.85
421,2024-02-01,9,4,3,1,73.76,27.42,46.34
422,2024-02-01,9,4,4,7,525.3,194.4,330.9
423,2024-02-01,9,5,4,4,224.81,97.89,126.92
424,2024-02-01,9,5,5,2,122.72,52.6,70.12
425,2024-02-01,10,1,2,1,57.15,20.19,36.96
426,2024-02-01,10,1,3,1,51.39,19.8,31.59
427,2024-02-01,10,1,4,4,253.76,95.22,158.54
428,2024-02-01,10,1,5,3,156.22,57.41,98.81
429,2024-02-01,10,2,1,4,254.82,94.53,160.29
430,2024-02-01,10,2,4,6,384.1,137.06,247.04
431,2024-02-01,10,2,5,1,55.04,20.43,34.61
432,2024-02-01,10,3,1,1,69.26,24.17,45.09
433,2024-02-01,10,3,2,1,65.23,23.73,41.5
434,2024-02-01,10,3,3,4,248.25,89.13,159.12
435,2024-02-01,10,3,4,8,514.17,174.36,339.81
436,2024-02-01,10,3,5,3,195.23,68.33,126.9
437,2024-02-01,10,4,2,5,298.57,103.0,195.57
438,2024-02-01,10,4,3,2,133.7,45.33,88.37
439,2024-02-01,10,4,4,6,362.36,130.53,231.83
440,2024-02-01,10,4,5,6,383.06,133.73,249.33
441,2024-02-01,10,5,4,1,49.9,19.14,30.76
442,2024-02-01,10,5,5,2,116.19,42.17,74.02
443,2024-02-01,11,1,2,1,35.04,11.97,23.07
444,2024-02-01,11,1,3,1,37.08,11.86,25.22
445,2024-02-01,11,1,4,3,150.03,42.82,107.21
446,2024-02-01,11,1,5,3,118.28,32.09,86.19
447,2024-02-01,11,2,1,1,41.72,12.97,28.75
448,2024-02-01,11,2,2,4,169.98,51.41,118.57
449,2024-02-01,11,2,5,1,38.44,12.72,25.72
450,2024-02-01,11,3,1,3,142.66,41.4,101.26
451,2024-02-01,11,3,2,2,92.03,28.8,63.23
452,2024-02-01,11,3,4,2,76.39,22.78,53.61
453,2024-02-01,11,3,5,2,84.18,24.4,59.78
454,2024-02-01,11,4,3,3,139.94,42.1,97.84
455,2024-02-01,11,4,4,2,88.32,25.64,62.68
456,2024-02-01,11,4,5,5,230.9,66.81,164.09
457,2024-02-01,11,5,2,1,37.76,11.63,26.13
458,2024-02-01,11,5,4,2,67.36,22.08,45.28
459,2024-02-01,11,5,5,4,138.52,45.2,93.32
460,2024-02-01,12,1,1,2,132.06,51.21,80.85
461,2024-02-01,12,1,2,1,73.51,25.36,48.15
462,2024-02-01,12,1,3,2,147.13,48.89,98.24
463,2024-02-01,12,1,4,7,514.74,170.27,344.47
464,2024-02-01,12,1,5,2,141.76,49.05,92.71
465,2024-02-01,12,2,1,3,255.05,83.16,171.89
466,2024-02-01,12,2,3,1,73.73,24.87,48.86
467,2024-02-01,12,2,4,5,377.58,119.26,258.32
468,2024-02-01,12,2,5,1,69.92,24.12,45.8
469,2024-02-01,12,3,2,3,260.96,86.83,174.13
470,2024-02-01,12,3,3,2,171.33,54.59,116.74
471,2024-02-01,12,3,4,5,366.34,126.68,239.66
472,2024-02-01,12,3,5,1,72.55,26.41,46.14
473,2024-02-01,12,4,3,2,177.61,57.26,120.35
474,2024-02-01,12,4,4,6,524.88,164.51,360.37
475,2024-02-01,12,4,5,3,268.94,84.13,184.81
476,2024-02-01,12,5,4,2,127.55,48.51,79.04
477,2024-02-01,12,5,5,1,64.63,24.06,40.57
478,2024-02-01,13,1,2,4,212.89,69.27,143.62
